frame,m68k_cycles,msh2_cycles,ssh2_cycles,m68k_useful,msh2_useful,ssh2_useful,active,fb_crc,scene,state,is_32x
2,127988,0,0,0,0,0,1,0x5E509DC5,0x0000,0x0000,1
3,127984,305923,156,0,0,0,1,0x5E509DC5,0x0000,0x0000,1
4,127987,307288,0,0,0,0,1,0x5E509DC5,0x0000,0x0000,1
5,127990,217898,89717,0,0,0,1,0x5E509DC5,0x0000,0x0000,1
6,127984,0,307356,0,0,0,1,0x5E509DC5,0x0000,0x0000,1
7,127996,0,307356,0,0,0,1,0x5E509DC5,0x0000,0x0000,1
8,127984,0,307356,0,0,0,1,0x5E509DC5,0x0000,0x0000,1
9,127983,0,307356,0,0,0,1,0x5E509DC5,0x0000,0x0000,1
10,127988,0,307356,0,0,0,1,0x5E509DC5,0x0000,0x0000,1
11,127989,0,307356,0,0,0,1,0x5E509DC5,0x0000,0x0000,1
12,127982,0,307356,0,0,0,1,0x5E509DC5,0x0000,0x0000,1
13,127991,0,307356,0,0,0,1,0xF29D2CC5,0x4262,0x0000,1
14,127991,294432,307356,0,0,0,1,0xF29D2CC5,0x43C6,0x0000,1
15,127986,306295,307356,0,0,0,1,0x70DB5AE6,0x43C6,0x0000,1
16,127980,306266,307359,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
17,127995,306284,307360,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
18,127987,306295,307357,0,0,0,1,0x6AD2E84B,0x43C6,0x0000,1
19,127979,306310,307359,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
20,127989,306263,307360,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
21,127985,306317,307357,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
22,127987,306334,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
23,127989,306228,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
24,127993,306316,307359,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
25,127979,306286,307357,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
26,127993,306322,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
27,127981,306294,307356,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
28,127987,306286,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
29,127989,306307,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
30,127993,306297,307356,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
31,127979,306290,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
32,127993,306300,307359,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
33,127981,306311,307360,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
34,127987,306313,307360,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
35,127993,306353,307357,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
36,127989,306225,307359,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
37,127979,306277,307360,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
38,127998,306292,307360,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
39,127976,306292,307360,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
40,127987,306314,307360,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
41,127987,306347,307357,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
42,127995,306298,307356,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
43,127979,306300,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
44,127987,306338,307359,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
45,127987,306326,307357,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
46,127987,306277,307359,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
47,127987,306289,307360,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
48,127995,306280,307357,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
49,127979,306290,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
50,127987,306308,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
51,127987,306282,307359,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
52,127987,306304,307357,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
53,127987,306300,307359,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
54,127995,306306,307360,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
55,127979,306290,307357,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
56,127987,306279,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
57,127987,306329,307356,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
58,127987,306293,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
59,127987,306273,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
60,127995,306311,307356,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
61,127979,306298,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
62,127987,306273,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
63,127987,306248,307356,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
64,127987,306297,307359,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
65,127987,306293,307357,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
66,127995,306336,307359,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
67,127979,306282,307360,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
68,127987,306310,307360,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
69,127987,306263,307360,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
70,127987,306284,307360,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
71,127987,306299,307357,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
72,127995,306314,307359,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
73,127979,306267,307360,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
74,127987,306313,307357,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
75,127987,306334,307356,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
76,127987,306228,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
77,127987,306312,307359,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
78,127995,306282,307357,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
79,127979,306322,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
80,127987,306282,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
81,127987,306290,307356,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
82,127987,306311,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
83,127987,306297,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
84,127995,306286,307356,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
85,127979,306304,307359,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
86,127987,306331,307360,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
87,127987,306313,307360,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
88,127987,306280,307360,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
89,127987,306318,307360,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
90,127995,306282,307360,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
91,127979,306316,307360,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
92,127987,306268,307360,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
93,127987,306308,307357,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
94,127987,306310,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
95,127987,306295,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
96,127995,306301,307356,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
97,127979,306346,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
98,127987,306289,307356,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
99,127987,306318,307359,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
