frame,0xFF7B40,0x2600BC64,0x2600BC68,0x2600BC6C,0x2600BC8C,0x2600BC90,0x2600BC00,0x2600BC0C,0x2600FB64,0x20004020
1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
2,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
5,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
6,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
7,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
8,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
9,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
10,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
11,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
12,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
13,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
14,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
15,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
16,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
17,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
18,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
19,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
20,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
21,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
22,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
23,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
24,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
25,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
26,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
27,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
28,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
29,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
31,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
32,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
33,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
34,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
35,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
36,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
38,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
39,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
41,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
42,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
43,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
44,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
45,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
46,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
47,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
48,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
49,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
51,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
52,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
53,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
54,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
