frame,m68k_cycles,msh2_cycles,ssh2_cycles,m68k_useful,msh2_useful,ssh2_useful,active,fb_crc,scene,state,is_32x
2,127988,0,0,0,0,0,1,0x5E509DC5,0x0000,0x0000,1
3,127984,305838,92,0,0,0,1,0x5E509DC5,0x0000,0x0000,1
4,127987,129681,177722,0,0,0,1,0x5E509DC5,0x0000,0x0000,1
5,127987,0,307240,0,0,0,1,0x5E509DC5,0x0000,0x0000,1
6,127989,0,307232,0,0,0,1,0x5E509DC5,0x0000,0x0000,1
7,127986,0,307240,0,0,0,1,0x5E509DC5,0x0000,0x0000,1
8,127988,0,307240,0,0,0,1,0x5E509DC5,0x0000,0x0000,1
9,127988,0,307240,0,0,0,1,0x5E509DC5,0x0000,0x0000,1
10,127986,0,307240,0,0,0,1,0x5E509DC5,0x0000,0x0000,1
11,127985,0,307240,0,0,0,1,0x6C8988C5,0x0000,0x0000,1
12,127987,41656,307248,0,0,0,1,0xF29D2CC5,0x43C6,0x0000,1
13,127995,306154,307232,0,0,0,1,0xF29D2CC5,0x43C6,0x0000,1
14,127986,306146,307240,0,0,0,1,0x70DB5AE6,0x43C6,0x0000,1
15,127980,306146,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
16,127996,306162,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
17,127986,306138,307240,0,0,0,1,0x6AD2E84B,0x43C6,0x0000,1
18,127979,306152,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
19,127989,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
20,127985,306146,307240,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
21,127987,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
22,127989,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
23,127993,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
24,127979,306146,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
25,127993,306130,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
26,127981,306146,307240,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
27,127987,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
28,127989,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
29,127993,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
30,127979,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
31,127993,306144,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
32,127981,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
33,127987,306154,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
34,127993,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
35,127989,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
36,127979,306146,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
37,127997,306146,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
38,127977,306146,307240,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
39,127987,306146,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
40,127987,306130,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
41,127995,306154,307240,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
42,127979,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
43,127987,306154,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
44,127987,306142,307240,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
45,127987,306156,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
46,127987,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
47,127995,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
48,127979,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
49,127987,306146,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
50,127987,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
51,127987,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
52,127987,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
53,127995,306146,307240,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
54,127979,306146,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
55,127987,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
56,127987,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
57,127987,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
58,127987,306136,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
59,127995,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
60,127979,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
61,127987,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
62,127987,306146,307240,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
63,127987,306146,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
64,127987,306146,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
65,127995,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
66,127979,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
67,127987,306146,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
68,127987,306146,307240,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
69,127987,306154,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
70,127987,306146,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
71,127995,306152,307240,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
72,127979,306154,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
73,127987,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
74,127987,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0000,1
75,127987,306138,307240,0,0,0,1,0x50306E9C,0x43C6,0x0008,1
