frame,0xFF7B40,0xFFC80C,0x2000410A
1,0x0,0x0,0xA000
2,0x0,0x0,0x2000
3,0x0,0x0,0x2002
4,0x0,0x0,0x2000
5,0x0,0x0,0x2000
6,0x0,0x0,0x2000
7,0x0,0x0,0x6000
8,0x0,0x0,0x6000
9,0x0,0x0,0x6000
10,0x0,0x0,0x6000
11,0x0,0x0,0x6000
12,0x0,0x0,0x0
13,0x0,0x0,0x4000
14,0x0,0x0,0x4000
15,0x0,0x0,0x4000
16,0x0,0x0,0x4000
17,0x0,0x1,0x1
18,0x0,0x1,0x4001
19,0x0,0x1,0x4001
20,0x0,0x0,0x0
21,0x0,0x0,0x0
22,0x0,0x0,0x0
23,0x0,0x1,0x4001
24,0x0,0x1,0x3
25,0x0,0x1,0x1
26,0x0,0x0,0x4000
27,0x0,0x0,0x4000
28,0x0,0x0,0x4000
29,0x0,0x1,0x1
30,0x0,0x1,0x4001
31,0x0,0x1,0x4001
32,0x0,0x0,0x0
33,0x0,0x0,0x0
34,0x0,0x0,0x0
35,0x0,0x1,0x4001
36,0x0,0x1,0x3
37,0x0,0x1,0x1
38,0x0,0x0,0x4000
39,0x0,0x0,0x4000
40,0x0,0x0,0x4000
41,0x0,0x1,0x1
42,0x0,0x1,0x4001
43,0x0,0x1,0x4001
44,0x0,0x0,0x0
45,0x0,0x0,0x0
46,0x0,0x0,0x0
47,0x0,0x1,0x4001
48,0x0,0x1,0x3
49,0x0,0x1,0x1
50,0x0,0x0,0x4000
51,0x0,0x0,0x4000
52,0x0,0x0,0x4000
53,0x0,0x1,0x1
54,0x0,0x1,0x4001
55,0x0,0x1,0x4001
56,0x0,0x0,0x0
57,0x0,0x0,0x0
58,0x0,0x0,0x0
59,0x0,0x1,0x4001
60,0x0,0x1,0x3
61,0x0,0x1,0x1
62,0x0,0x0,0x4000
63,0x0,0x0,0x4000
64,0x0,0x0,0x4000
65,0x0,0x1,0x1
66,0x0,0x1,0x4001
67,0x0,0x1,0x4001
68,0x0,0x0,0x0
69,0x0,0x0,0x0
70,0x0,0x0,0x0
71,0x0,0x1,0x4001
72,0x0,0x1,0x3
73,0x0,0x1,0x1
74,0x0,0x0,0x4000
75,0x0,0x0,0x4000
76,0x0,0x0,0x4000
77,0x0,0x1,0x1
78,0x0,0x1,0x4001
79,0x0,0x1,0x4001
80,0x0,0x0,0x0
81,0x0,0x0,0x0
82,0x0,0x0,0x0
83,0x0,0x1,0x4001
84,0x0,0x1,0x3
85,0x0,0x1,0x1
86,0x0,0x0,0x4000
87,0x0,0x0,0x4000
88,0x0,0x0,0x4000
89,0x0,0x1,0x1
90,0x0,0x1,0x4001
91,0x0,0x1,0x4001
92,0x0,0x0,0x0
93,0x0,0x0,0x0
94,0x0,0x0,0x0
95,0x0,0x1,0x4001
96,0x0,0x1,0x3
97,0x0,0x1,0x1
98,0x0,0x0,0x4000
99,0x0,0x0,0x4000
100,0x0,0x0,0x4000
101,0x0,0x1,0x1
102,0x0,0x1,0x4001
103,0x0,0x1,0x4001
104,0x0,0x0,0x0
105,0x0,0x0,0x0
106,0x0,0x0,0x0
107,0x0,0x1,0x4001
108,0x0,0x1,0x3
109,0x0,0x1,0x1
110,0x0,0x0,0x4000
111,0x0,0x0,0x4000
112,0x0,0x0,0x4000
113,0x0,0x1,0x1
114,0x0,0x1,0x4001
115,0x0,0x1,0x4001
116,0x0,0x0,0x0
117,0x0,0x0,0x0
118,0x0,0x0,0x0
119,0x0,0x1,0x4001
120,0x0,0x1,0x3
121,0x0,0x1,0x1
122,0x0,0x0,0x4000
123,0x0,0x0,0x4000
124,0x0,0x0,0x4000
125,0x0,0x1,0x1
126,0x0,0x1,0x4001
127,0x0,0x1,0x4001
128,0x0,0x0,0x0
129,0x0,0x0,0x0
130,0x0,0x0,0x0
131,0x0,0x1,0x4001
132,0x0,0x1,0x3
133,0x0,0x1,0x1
134,0x0,0x0,0x4000
135,0x0,0x0,0x4000
136,0x0,0x0,0x4000
137,0x0,0x1,0x1
138,0x0,0x1,0x4001
139,0x0,0x1,0x4001
140,0x0,0x0,0x0
141,0x0,0x0,0x0
142,0x0,0x0,0x0
143,0x0,0x1,0x4001
144,0x0,0x1,0x3
145,0x0,0x1,0x1
146,0x0,0x0,0x4000
147,0x0,0x0,0x4000
148,0x0,0x0,0x4000
149,0x0,0x1,0x1
150,0x0,0x1,0x4001
151,0x0,0x1,0x4001
152,0x0,0x0,0x0
153,0x0,0x0,0x0
154,0x0,0x0,0x0
155,0x0,0x1,0x4001
156,0x0,0x1,0x3
157,0x0,0x1,0x1
158,0x0,0x0,0x4000
159,0x0,0x0,0x4000
160,0x0,0x0,0x4000
161,0x0,0x1,0x1
162,0x0,0x1,0x4001
163,0x0,0x1,0x4001
164,0x0,0x0,0x0
165,0x0,0x0,0x0
166,0x0,0x0,0x0
167,0x0,0x1,0x4001
168,0x0,0x1,0x3
169,0x0,0x1,0x1
170,0x0,0x0,0x4000
171,0x0,0x0,0x4000
172,0x0,0x0,0x4000
173,0x0,0x1,0x1
174,0x0,0x1,0x4001
175,0x0,0x1,0x4001
176,0x0,0x0,0x0
177,0x0,0x0,0x0
178,0x0,0x0,0x0
179,0x0,0x1,0x4001
180,0x0,0x1,0x3
181,0x0,0x1,0x1
182,0x0,0x0,0x4000
183,0x0,0x0,0x4000
184,0x0,0x0,0x4000
185,0x0,0x1,0x1
186,0x0,0x1,0x4001
