frame,mask
0,0x0100
1,0x0100
2,0x0100
3,0x0100
4,0x0100
5,0x0100
6,0x0100
7,0x0100
8,0x0100
9,0x0100
10,0x0100
11,0x0100
12,0x0100
13,0x0100
14,0x0100
15,0x0100
16,0x0100
17,0x0100
18,0x0100
19,0x0100
20,0x0100
21,0x0100
22,0x0100
23,0x0100
24,0x0100
25,0x0100
26,0x0100
27,0x0100
28,0x0100
29,0x0100
30,0x0100
31,0x0100
32,0x0100
33,0x0100
34,0x0100
35,0x0100
36,0x0100
37,0x0100
38,0x0100
39,0x0100
40,0x0100
41,0x0100
42,0x0100
43,0x0100
44,0x0100
45,0x0100
46,0x0100
47,0x0100
48,0x0100
49,0x0100
50,0x0100
51,0x0100
52,0x0100
53,0x0100
54,0x0100
55,0x0100
56,0x0100
57,0x0100
58,0x0100
59,0x0100
60,0x0100
61,0x0100
62,0x0100
63,0x0100
64,0x0100
65,0x0100
66,0x0100
67,0x0100
68,0x0100
69,0x0100
70,0x0100
71,0x0100
72,0x0100
73,0x0100
74,0x0100
75,0x0100
76,0x0100
77,0x0100
78,0x0100
79,0x0100
80,0x0100
81,0x0100
82,0x0100
83,0x0100
84,0x0100
85,0x0100
86,0x0100
87,0x0100
88,0x0100
89,0x0100
90,0x0100
91,0x0100
92,0x0100
93,0x0100
94,0x0100
95,0x0100
96,0x0100
97,0x0100
98,0x0100
99,0x0100
100,0x0100
101,0x0100
102,0x0100
103,0x0100
104,0x0100
105,0x0100
106,0x0100
107,0x0100
108,0x0100
109,0x0100
110,0x0100
111,0x0100
112,0x0100
113,0x0100
114,0x0100
115,0x0100
116,0x0100
117,0x0100
118,0x0100
119,0x0100
120,0x0100
121,0x0100
122,0x0100
123,0x0100
124,0x0100
125,0x0100
126,0x0100
127,0x0100
128,0x0100
129,0x0100
130,0x0100
131,0x0100
132,0x0100
133,0x0100
134,0x0100
135,0x0100
136,0x0100
137,0x0100
138,0x0100
139,0x0100
140,0x0100
141,0x0100
142,0x0100
143,0x0100
144,0x0100
145,0x0100
146,0x0100
147,0x0100
148,0x0100
149,0x0100
150,0x0100
151,0x0100
152,0x0100
153,0x0100
154,0x0100
155,0x0100
156,0x0100
157,0x0100
158,0x0100
159,0x0100
160,0x0100
161,0x0100
162,0x0100
163,0x0100
164,0x0100
165,0x0100
166,0x0100
167,0x0100
168,0x0100
169,0x0100
170,0x0100
171,0x0100
172,0x0100
173,0x0100
174,0x0100
175,0x0100
176,0x0100
177,0x0100
178,0x0100
179,0x0100
180,0x0100
181,0x0100
182,0x0100
183,0x0100
184,0x0100
185,0x0100
186,0x0100
187,0x0100
188,0x0100
189,0x0100
190,0x0100
191,0x0100
192,0x0100
193,0x0100
194,0x0100
195,0x0100
196,0x0100
197,0x0100
198,0x0100
199,0x0100
200,0x0100
201,0x0100
202,0x0100
203,0x0100
204,0x0100
205,0x0100
206,0x0100
207,0x0100
208,0x0100
209,0x0100
210,0x0100
211,0x0100
212,0x0100
213,0x0100
214,0x0100
215,0x0100
216,0x0100
217,0x0100
218,0x0100
219,0x0100
220,0x0100
221,0x0100
222,0x0100
223,0x0100
224,0x0100
225,0x0100
226,0x0100
227,0x0100
228,0x0100
229,0x0100
230,0x0100
231,0x0100
232,0x0100
233,0x0100
234,0x0100
235,0x0100
236,0x0100
237,0x0100
238,0x0100
239,0x0100
240,0x0100
241,0x0100
242,0x0100
243,0x0100
244,0x0100
245,0x0100
246,0x0100
247,0x0100
248,0x0100
249,0x0100
250,0x0100
251,0x0100
252,0x0100
253,0x0100
254,0x0100
255,0x0100
256,0x0100
257,0x0100
258,0x0100
259,0x0100
260,0x0100
261,0x0100
262,0x0100
263,0x0100
264,0x0100
265,0x0100
266,0x0100
267,0x0100
268,0x0100
269,0x0100
270,0x0100
271,0x0100
272,0x0100
273,0x0100
274,0x0100
275,0x0100
276,0x0100
277,0x0100
278,0x0100
279,0x0100
280,0x0100
281,0x0100
282,0x0100
283,0x0100
284,0x0100
285,0x0100
286,0x0100
287,0x0100
288,0x0100
289,0x0100
290,0x0100
291,0x0100
292,0x0100
293,0x0100
294,0x0100
295,0x0100
296,0x0100
297,0x0100
298,0x0100
299,0x0100
300,0x0100
301,0x0100
302,0x0100
303,0x0100
304,0x0100
305,0x0100
306,0x0100
307,0x0100
308,0x0100
309,0x0100
310,0x0100
311,0x0100
312,0x0100
313,0x0100
314,0x0100
315,0x0100
316,0x0100
317,0x0100
318,0x0100
319,0x0100
320,0x0100
321,0x0100
322,0x0100
323,0x0100
324,0x0100
325,0x0100
326,0x0100
327,0x0100
328,0x0100
329,0x0100
330,0x0100
331,0x0100
332,0x0100
333,0x0100
334,0x0100
335,0x0100
336,0x0100
337,0x0100
338,0x0100
339,0x0100
340,0x0100
341,0x0100
342,0x0100
343,0x0100
344,0x0100
345,0x0100
346,0x0100
347,0x0100
348,0x0100
349,0x0100
350,0x0100
351,0x0100
352,0x0100
353,0x0100
354,0x0100
355,0x0100
356,0x0100
357,0x0100
358,0x0100
359,0x0100
360,0x0100
361,0x0100
362,0x0100
363,0x0100
364,0x0100
365,0x0100
366,0x0100
367,0x0100
368,0x0100
369,0x0100
370,0x0100
371,0x0100
372,0x0100
373,0x0100
374,0x0100
375,0x0100
376,0x0100
377,0x0100
378,0x0100
379,0x0100
380,0x0100
381,0x0100
382,0x0100
383,0x0100
384,0x0100
385,0x0100
386,0x0100
387,0x0100
388,0x0100
389,0x0100
390,0x0100
391,0x0100
392,0x0100
393,0x0100
394,0x0100
395,0x0100
396,0x0100
397,0x0100
398,0x0100
399,0x0100
400,0x0100
401,0x0100
402,0x0100
403,0x0100
404,0x0100
405,0x0100
406,0x0100
407,0x0100
408,0x0100
409,0x0100
410,0x0100
411,0x0100
412,0x0100
413,0x0100
414,0x0100
415,0x0100
416,0x0100
417,0x0100
418,0x0100
419,0x0100
420,0x0100
421,0x0100
422,0x0100
423,0x0100
424,0x0100
425,0x0100
426,0x0100
427,0x0100
428,0x0100
429,0x0100
430,0x0100
431,0x0100
432,0x0100
433,0x0100
434,0x0100
435,0x0100
436,0x0100
437,0x0100
438,0x0100
439,0x0100
440,0x0100
441,0x0100
442,0x0100
443,0x0100
444,0x0100
445,0x0100
446,0x0100
447,0x0100
448,0x0100
449,0x0100
450,0x0100
451,0x0100
452,0x0100
453,0x0100
454,0x0100
455,0x0100
456,0x0100
457,0x0100
458,0x0100
459,0x0100
460,0x0100
461,0x0100
462,0x0100
463,0x0100
464,0x0100
465,0x0100
466,0x0100
467,0x0100
468,0x0100
469,0x0100
470,0x0100
471,0x0100
472,0x0100
473,0x0100
474,0x0100
475,0x0100
476,0x0100
477,0x0100
478,0x0100
479,0x0100
480,0x0100
481,0x0100
482,0x0100
483,0x0100
484,0x0100
485,0x0100
486,0x0100
487,0x0100
488,0x0100
489,0x0100
490,0x0100
491,0x0100
492,0x0100
493,0x0100
