# SLAVE Hotspots - Top 20 PCs by cycle share
# Format: PC [Region] (share%) function_name

 1. 0xC0000198 [ROM-C   ] (17.44%) 
 2. 0x0600060C [SDRAM   ] ( 8.24%) 
 3. 0x06000596 [SDRAM   ] ( 8.24%) 
 4. 0x06000608 [SDRAM   ] ( 8.24%) 
 5. 0x06000592 [SDRAM   ] ( 8.24%) 
 6. 0x0600064E [SDRAM   ] ( 8.24%) 
 7. 0x06000638 [SDRAM   ] ( 7.28%) 
 8. 0x0600063E [SDRAM   ] ( 5.77%) 
 9. 0x0600424E [SDRAM   ] (11.72%) 
10. 0x06003FDC [SDRAM   ] ( 6.44%) 
11. 0x06004514 [SDRAM   ] ( 5.12%) 
12. 0x0600450A [SDRAM   ] ( 4.33%) 
13. 0x0202353C [ROM     ] ( 4.27%) 
14. 0x02023540 [ROM     ] ( 4.07%) 
15. 0x06004252 [SDRAM   ] ( 3.95%) 
16. 0x0600450C [SDRAM   ] ( 3.92%) 
17. 0x06004514 [SDRAM   ] ( 1.23%) 
18. 0xC0000196 [ROM-C   ] ( 1.10%) 
19. 0x0600450A [SDRAM   ] ( 1.06%) 
20. 0x06000642 [SDRAM   ] ( 1.00%) 
