idx,ppc,pc,ir
0,0x0088021A,0x0088021E,0x03A8
1,0x0088021E,0x00880222,0x03A8
2,0x00880222,0x00880226,0x03A8
3,0x00880226,0x0088022A,0x03A8
4,0x0088022A,0x0088022E,0x03A8
5,0x0088022E,0x00880232,0x03A8
6,0x00880232,0x00880236,0x03A8
7,0x00880236,0x0088023A,0x03A8
8,0x0088023A,0x0088023E,0x03A8
9,0x0088023E,0x00880242,0x03A8
10,0x00880242,0x00880244,0x071C
11,0x00880244,0x00880248,0x0600
12,0x00880248,0x0088024C,0x0600
13,0x0088024C,0x00880250,0x0600
14,0x00880250,0x00880254,0x0600
15,0x00880254,0x00880258,0x0600
16,0x00880258,0x0088025C,0x0600
17,0x0088025C,0x00880260,0x0600
18,0x00880260,0x00880264,0x0600
19,0x00880264,0x00880268,0x0600
20,0x00880268,0x0088026C,0x0600
21,0x0088026C,0x00880270,0x0600
22,0x00880270,0x00880274,0x0600
23,0x00880274,0x00880278,0x0600
24,0x00880278,0x0088027C,0x0600
25,0x0088027C,0x00880280,0x0600
26,0x00880280,0x00880282,0xD103
27,0x00880282,0x00880296,0x6012
28,0x00880296,0x00880298,0x0140
29,0x00880298,0x0088029A,0xB09E
30,0x0088029A,0x00880212,0x0009
31,0x00880212,0x00880216,0x03A8
32,0x00880216,0x0088021A,0x03A8
33,0x0088021A,0x0088021E,0x03A8
34,0x0088021E,0x00880222,0x03A8
35,0x00880222,0x00880226,0x03A8
36,0x00880226,0x0088022A,0x03A8
37,0x0088022A,0x0088022E,0x03A8
38,0x0088022E,0x00880232,0x03A8
39,0x00880232,0x00880236,0x03A8
40,0x00880236,0x0088023A,0x03A8
41,0x0088023A,0x0088023E,0x03A8
42,0x0088023E,0x00880242,0x03A8
43,0x00880242,0x00880244,0x071C
44,0x00880244,0x00880248,0x0600
45,0x00880248,0x0088024C,0x0600
46,0x0088024C,0x00880250,0x0600
47,0x00880250,0x00880254,0x0600
48,0x00880254,0x00880258,0x0600
49,0x00880258,0x0088025C,0x0600
50,0x0088025C,0x00880260,0x0600
51,0x00880260,0x00880264,0x0600
52,0x00880264,0x00880268,0x0600
53,0x00880268,0x0088026C,0x0600
54,0x0088026C,0x00880270,0x0600
55,0x00880270,0x00880274,0x0600
56,0x00880274,0x00880278,0x0600
57,0x00880278,0x0088027C,0x0600
58,0x0088027C,0x00880280,0x0600
59,0x00880280,0x00880282,0xD103
60,0x00880282,0x00880296,0x6012
61,0x00880296,0x00880298,0x0140
62,0x00880298,0x0088029A,0xB09E
63,0x0088029A,0x00880212,0x0009
64,0x00880212,0x00880216,0x03A8
65,0x00880216,0x0088021A,0x03A8
66,0x0088021A,0x0088021E,0x03A8
67,0x0088021E,0x00880222,0x03A8
68,0x00880222,0x00880226,0x03A8
69,0x00880226,0x0088022A,0x03A8
70,0x0088022A,0x0088022E,0x03A8
71,0x0088022E,0x00880232,0x03A8
72,0x00880232,0x00880236,0x03A8
73,0x00880236,0x0088023A,0x03A8
74,0x0088023A,0x0088023E,0x03A8
75,0x0088023E,0x00880242,0x03A8
76,0x00880242,0x00880244,0x071C
77,0x00880244,0x00880248,0x0600
78,0x00880248,0x0088024C,0x0600
79,0x0088024C,0x00880250,0x0600
80,0x00880250,0x00880254,0x0600
81,0x00880254,0x00880258,0x0600
82,0x00880258,0x0088025C,0x0600
83,0x0088025C,0x00880260,0x0600
84,0x00880260,0x00880264,0x0600
85,0x00880264,0x00880268,0x0600
86,0x00880268,0x0088026C,0x0600
87,0x0088026C,0x00880270,0x0600
88,0x00880270,0x00880274,0x0600
89,0x00880274,0x00880278,0x0600
90,0x00880278,0x0088027C,0x0600
91,0x0088027C,0x00880280,0x0600
92,0x00880280,0x00880282,0xD103
93,0x00880282,0x00880296,0x6012
94,0x00880296,0x00880298,0x0140
95,0x00880298,0x0088029A,0xB09E
96,0x0088029A,0x00880212,0x0009
97,0x00880212,0x00880216,0x03A8
98,0x00880216,0x0088021A,0x03A8
99,0x0088021A,0x0088021E,0x03A8
100,0x0088021E,0x00880222,0x03A8
101,0x00880222,0x00880226,0x03A8
102,0x00880226,0x0088022A,0x03A8
103,0x0088022A,0x0088022E,0x03A8
104,0x0088022E,0x00880232,0x03A8
105,0x00880232,0x00880236,0x03A8
106,0x00880236,0x0088023A,0x03A8
107,0x0088023A,0x0088023E,0x03A8
108,0x0088023E,0x00880242,0x03A8
109,0x00880242,0x00880244,0x071C
110,0x00880244,0x00880248,0x0600
111,0x00880248,0x0088024C,0x0600
112,0x0088024C,0x00880250,0x0600
113,0x00880250,0x00880254,0x0600
114,0x00880254,0x00880258,0x0600
115,0x00880258,0x0088025C,0x0600
116,0x0088025C,0x00880260,0x0600
117,0x00880260,0x00880264,0x0600
118,0x00880264,0x00880268,0x0600
119,0x00880268,0x0088026C,0x0600
120,0x0088026C,0x00880270,0x0600
121,0x00880270,0x00880274,0x0600
122,0x00880274,0x00880278,0x0600
123,0x00880278,0x0088027C,0x0600
124,0x0088027C,0x00880280,0x0600
125,0x00880280,0x00880282,0xD103
126,0x00880282,0x00880296,0x6012
127,0x00880296,0x00880298,0x0140
128,0x00880298,0x0088029A,0xB09E
129,0x0088029A,0x00880212,0x0009
130,0x00880212,0x00880216,0x03A8
131,0x00880216,0x0088021A,0x03A8
132,0x0088021A,0x0088021E,0x03A8
133,0x0088021E,0x00880222,0x03A8
134,0x00880222,0x00880226,0x03A8
135,0x00880226,0x0088022A,0x03A8
136,0x0088022A,0x0088022E,0x03A8
137,0x0088022E,0x00880232,0x03A8
138,0x00880232,0x00880236,0x03A8
139,0x00880236,0x0088023A,0x03A8
140,0x0088023A,0x0088023E,0x03A8
141,0x0088023E,0x00880242,0x03A8
142,0x00880242,0x00880244,0x071C
143,0x00880244,0x00880248,0x0600
144,0x00880248,0x0088024C,0x0600
145,0x0088024C,0x00880250,0x0600
146,0x00880250,0x00880254,0x0600
147,0x00880254,0x00880258,0x0600
148,0x00880258,0x0088025C,0x0600
149,0x0088025C,0x00880260,0x0600
150,0x00880260,0x00880264,0x0600
151,0x00880264,0x00880268,0x0600
152,0x00880268,0x0088026C,0x0600
153,0x0088026C,0x00880270,0x0600
154,0x00880270,0x00880274,0x0600
155,0x00880274,0x00880278,0x0600
156,0x00880278,0x0088027C,0x0600
157,0x0088027C,0x00880280,0x0600
158,0x00880280,0x00880282,0xD103
159,0x00880282,0x00880296,0x6012
160,0x00880296,0x00880298,0x0140
161,0x00880298,0x0088029A,0xB09E
162,0x0088029A,0x00880212,0x0009
163,0x00880212,0x00880216,0x03A8
164,0x00880216,0x0088021A,0x03A8
165,0x0088021A,0x0088021E,0x03A8
166,0x0088021E,0x00880222,0x03A8
167,0x00880222,0x00880226,0x03A8
168,0x00880226,0x0088022A,0x03A8
169,0x0088022A,0x0088022E,0x03A8
170,0x0088022E,0x00880232,0x03A8
171,0x00880232,0x00880236,0x03A8
172,0x00880236,0x0088023A,0x03A8
173,0x0088023A,0x0088023E,0x03A8
174,0x0088023E,0x00880242,0x03A8
175,0x00880242,0x00880244,0x071C
176,0x00880244,0x00880248,0x0600
177,0x00880248,0x0088024C,0x0600
178,0x0088024C,0x00880250,0x0600
179,0x00880250,0x00880254,0x0600
180,0x00880254,0x00880258,0x0600
181,0x00880258,0x0088025C,0x0600
182,0x0088025C,0x00880260,0x0600
183,0x00880260,0x00880264,0x0600
184,0x00880264,0x00880268,0x0600
185,0x00880268,0x0088026C,0x0600
186,0x0088026C,0x00880270,0x0600
187,0x00880270,0x00880274,0x0600
188,0x00880274,0x00880278,0x0600
189,0x00880278,0x0088027C,0x0600
190,0x0088027C,0x00880280,0x0600
191,0x00880280,0x00880282,0xD103
192,0x00880282,0x00880296,0x6012
193,0x00880296,0x00880298,0x0140
194,0x00880298,0x0088029A,0xB09E
195,0x0088029A,0x00880212,0x0009
196,0x00880212,0x00880216,0x03A8
197,0x00880216,0x0088021A,0x03A8
198,0x0088021A,0x0088021E,0x03A8
199,0x0088021E,0x00880222,0x03A8
200,0x00880222,0x00880226,0x03A8
201,0x00880226,0x0088022A,0x03A8
202,0x0088022A,0x0088022E,0x03A8
203,0x0088022E,0x00880232,0x03A8
204,0x00880232,0x00880236,0x03A8
205,0x00880236,0x0088023A,0x03A8
206,0x0088023A,0x0088023E,0x03A8
207,0x0088023E,0x00880242,0x03A8
208,0x00880242,0x00880244,0x071C
209,0x00880244,0x00880248,0x0600
210,0x00880248,0x0088024C,0x0600
211,0x0088024C,0x00880250,0x0600
212,0x00880250,0x00880254,0x0600
213,0x00880254,0x00880258,0x0600
214,0x00880258,0x0088025C,0x0600
215,0x0088025C,0x00880260,0x0600
216,0x00880260,0x00880264,0x0600
217,0x00880264,0x00880268,0x0600
218,0x00880268,0x0088026C,0x0600
219,0x0088026C,0x00880270,0x0600
220,0x00880270,0x00880274,0x0600
221,0x00880274,0x00880278,0x0600
222,0x00880278,0x0088027C,0x0600
223,0x0088027C,0x00880280,0x0600
224,0x00880280,0x00880282,0xD103
225,0x00880282,0x00880296,0x6012
226,0x00880296,0x00880298,0x0140
227,0x00880298,0x0088029A,0xB09E
228,0x0088029A,0x00880212,0x0009
