frame,msh2_cycles,ssh2_cycles,comm7_before,comm7_after,is_32x
2,383961,383961,0x0000,0x0000,1
3,127988,127987,0x0000,0x0000,1
4,127986,127992,0x0000,0x0000,1
5,127987,127986,0x0000,0x0000,1
6,127987,127987,0x0000,0x0000,1
7,127987,127987,0x0000,0x0000,1
8,127987,127987,0x0000,0x0000,1
9,127987,127987,0x0000,0x0000,1
10,127987,127987,0x0000,0x0000,1
11,127987,127987,0x0000,0x0000,1
12,127989,127985,0x0000,0x0000,1
13,127987,127988,0x0000,0x0000,1
14,127991,127988,0x0000,0x0000,1
15,127988,127988,0x0000,0x0000,1
16,127986,127986,0x0000,0x0000,1
17,127987,127987,0x0000,0x0000,1
18,127989,127987,0x0000,0x0000,1
19,127984,127987,0x0000,0x0000,1
20,127986,127987,0x0000,0x0000,1
21,127987,127987,0x0000,0x0000,1
22,127988,127988,0x0000,0x0000,1
23,127986,127986,0x0000,0x0000,1
24,127987,127987,0x0000,0x0000,1
25,127988,127988,0x0000,0x0000,1
26,127985,127986,0x0000,0x0000,1
27,127991,127988,0x0000,0x0000,1
28,127986,127986,0x0000,0x0000,1
29,127988,127988,0x0000,0x0000,1
30,127986,127986,0x0000,0x0000,1
31,127989,127987,0x0000,0x0000,1
32,127984,127987,0x0000,0x0000,1
33,127986,127987,0x0000,0x0000,1
34,127987,127987,0x0000,0x0000,1
35,127987,127987,0x0000,0x0000,1
36,127988,127988,0x0000,0x0000,1
37,127986,127986,0x0000,0x0000,1
38,127988,127988,0x0000,0x0000,1
39,127985,127986,0x0000,0x0000,1
40,127991,127988,0x0000,0x0000,1
41,127986,127986,0x0000,0x0000,1
42,127987,127987,0x0000,0x0000,1
43,127988,127988,0x0000,0x0000,1
44,127988,127986,0x0000,0x0000,1
45,127984,127987,0x0000,0x0000,1
46,127986,127987,0x0000,0x0000,1
47,127988,127988,0x0000,0x0000,1
48,127986,127986,0x0000,0x0000,1
49,127988,127988,0x0000,0x0000,1
50,127986,127986,0x0000,0x0000,1
51,127988,127988,0x0000,0x0000,1
52,127985,127986,0x0000,0x0000,1
53,127987,127987,0x0000,0x0000,1
54,127991,127988,0x0000,0x0000,1
55,127986,127986,0x0000,0x0000,1
56,127988,127988,0x0000,0x0000,1
57,127987,127986,0x0000,0x0000,1
58,127985,127987,0x0000,0x0000,1
59,127987,127987,0x0000,0x0000,1
60,127986,127987,0x0000,0x0000,1
61,127988,127988,0x0000,0x0000,1
62,127986,127986,0x0000,0x0000,1
63,127988,127988,0x0000,0x0000,1
64,127986,127987,0x0000,0x0000,1
65,127987,127986,0x0000,0x0000,1
66,127987,127988,0x0000,0x0000,1
67,127989,127986,0x0000,0x0000,1
68,127987,127987,0x0000,0x0000,1
69,127988,127988,0x0000,0x0000,1
70,127986,127986,0x0000,0x0000,1
71,127989,127987,0x0000,0x0000,1
72,127984,127987,0x0000,0x0000,1
73,127986,127987,0x0000,0x0000,1
74,127987,127987,0x0000,0x0000,1
75,127987,127987,0x0000,0x0000,1
76,127988,127988,0x0000,0x0000,1
